net,length_um
matrix_top.results\[646\],116.09
_30528_,116.08
matrix_top.results\[2026\],116.08
_26640_,116.05
matrix_top.results\[1667\],116.05
_08982_,115.98
matrix_top.sys_arr.col\[35\]\[2\],115.94
_30501_,115.92
_36117_,115.86
matrix_top.results\[1573\],115.86
_06553_,115.84
matrix_top.sys_arr.row\[43\]\[7\],115.815
_09380_,115.8
matrix_top.sys_arr.row\[70\]\[5\],115.8
_35793_,115.76
matrix_top.results\[1863\],115.7
_05005_,115.64
matrix_top.results\[1955\],115.59
matrix_top.results\[49\],115.56
_22346_,115.54
_32905_,115.52
matrix_top.results\[1576\],115.51
net487,115.51
_17616_,115.455
matrix_top.results\[449\],115.44
matrix_top.results\[1158\],115.4
_09934_,115.36
matrix_top.results\[1352\],115.34
_22378_,115.31
net404,115.31
_36081_,115.3
matrix_top.sys_arr.row\[56\]\[2\],115.3
net329,115.3
matrix_top.results\[491\],115.28
_35157_,115.26
matrix_top.results\[2025\],115.26
_35118_,115.24
_31901_,115.19
matrix_top.results\[898\],115.19
_03673_,115.16
matrix_top.sys_arr.row\[1\]\[5\],115.16
matrix_top.results\[2024\],115.15
_22381_,115.145
matrix_top.buffer_gen\[2\].buffer.reg_out\[24\],115.14
matrix_top.sys_arr.col\[68\]\[3\],115.11
_03897_,115.09
_23260_,115.08
_32828_,115.08
matrix_top.results\[708\],115.07
_22387_,114.965
net81,114.94
_36177_,114.92
matrix_top.results\[1514\],114.92
matrix_top.results\[194\],114.86
matrix_top.sys_arr.row\[17\]\[4\],114.86
net494,114.84
matrix_top.results\[1184\],114.83
matrix_top.sys_arr.row\[67\]\[5\],114.8
_35410_,114.78
_35525_,114.77
matrix_top.sys_arr.row\[35\]\[7\],114.75
matrix_top.sys_arr.row\[40\]\[0\],114.72
_03651_,114.64
matrix_top.sys_arr.row\[60\]\[5\],114.625
net87,114.56
matrix_top.buffer_gen\[2\].buffer.reg_out\[26\],114.54
matrix_top.results\[704\],114.54
matrix_top.results\[1578\],114.53
matrix_top.sys_arr.row\[50\]\[1\],114.515
_36374_,114.48
matrix_top.sys_arr.row\[26\]\[2\],114.48
matrix_top.sys_arr.row\[48\]\[1\],114.48
_30045_,114.44
_35870_,114.42
matrix_top.results\[1776\],114.35
_07067_,114.29
matrix_top.sys_arr.col\[57\]\[2\],114.29
_36344_,114.24
matrix_top.sys_arr.col\[20\]\[4\],114.24
_37034_,114.18
matrix_top.sys_arr.row\[39\]\[7\],114.16
matrix_top.results\[774\],114.14
_34394_,114.135
_18095_,114.1
matrix_top.sys_arr.col\[8\]\[4\],114.04
matrix_top.sys_arr.row\[31\]\[5\],114.005
_28599_,114
matrix_top.results\[899\],113.95
matrix_top.sys_arr.row\[61\]\[0\],113.9
_05034_,113.86
_35847_,113.82
matrix_top.results\[193\],113.8
matrix_top.sys_arr.row\[46\]\[3\],113.8
_35973_,113.77
_31467_,113.69
matrix_top.sys_arr.col\[22\]\[5\],113.66
_21852_,113.62
net191,113.6
matrix_top.results\[1030\],113.5
matrix_top.sys_arr.row\[49\]\[1\],113.46
net317,113.46
matrix_top.sys_arr.row\[34\]\[7\],113.405
matrix_top.sys_arr.col\[51\]\[5\],113.4
_35946_,113.38
matrix_top.sys_arr.row\[12\]\[3\],113.38
net347,113.36
matrix_top.results\[104\],113.35
net461,113.33
_32346_,113.3
net284,113.27
_28583_,113.24
matrix_top.results\[367\],113.24
matrix_top.sys_arr.col\[60\]\[2\],113.24
matrix_top.sys_arr.row\[71\]\[5\],113.22
net269,113.215
_28099_,113.19
net274,113.16
matrix_top.sys_arr.col\[20\]\[2\],113.14
net505,113.1
matrix_top.results\[105\],113.09
matrix_top.results\[390\],113.06
matrix_top.sys_arr.row\[2\]\[2\],113
matrix_top.results\[1574\],112.99
net355,112.895
_14701_,112.89
net267,112.82
matrix_top.results\[611\],112.74
_08978_,112.72
matrix_top.results\[1515\],112.72
_08003_,112.66
matrix_top.results\[1253\],112.6
matrix_top.results\[1732\],112.56
net373,112.53
_32873_,112.525
matrix_top.sys_arr.row\[40\]\[1\],112.485
_34953_,112.48
_29058_,112.43
_34327_,112.38
matrix_top.sys_arr.row\[23\]\[3\],112.38
_35299_,112.36
_35797_,112.36
_33317_,112.34
matrix_top.sys_arr.row\[19\]\[5\],112.305
matrix_top.sys_arr.row\[12\]\[5\],112.28
_24282_,112.26
matrix_top.results\[1862\],112.26
_29100_,112.255
_31927_,112.16
_34787_,112.08
matrix_top.sys_arr.col\[14\]\[4\],112.06
_35740_,112.05
_35640_,112.03
net289,112.02
_22824_,112.015
_14664_,112
matrix_top.results\[1285\],111.93
_12271_,111.9
net79,111.9
_36774_,111.8
matrix_top.sys_arr.row\[6\]\[3\],111.76
net645,111.74
matrix_top.results\[492\],111.72
net217,111.68
matrix_top.sys_arr.col\[15\]\[4\],111.66
matrix_top.sys_arr.row\[21\]\[0\],111.66
matrix_top.sys_arr.row\[67\]\[0\],111.66
matrix_top.sys_arr.row\[13\]\[2\],111.61
matrix_top.sys_arr.row\[55\]\[2\],111.56
_13656_,111.54
_35753_,111.5
matrix_top.results\[110\],111.4
matrix_top.results\[145\],111.4
matrix_top.results\[525\],111.3
_19019_,111.29
matrix_top.sys_arr.row\[58\]\[3\],111.27
_35362_,111.24
_35754_,111.24
net272,111.21
matrix_top.results\[644\],111.2
net356,111.115
_22342_,111.1
_08486_,111.05
_35298_,111.05
matrix_top.results\[206\],111
net525,110.96
matrix_top.sys_arr.col\[23\]\[4\],110.93
matrix_top.results\[2027\],110.92
net607,110.86
_19022_,110.78
_36126_,110.76
matrix_top.sys_arr.row\[38\]\[2\],110.75
net559,110.75
matrix_top.results\[362\],110.74
_05510_,110.73
matrix_top.results\[1728\],110.72
_26685_,110.62
_31898_,110.6
_35375_,110.6
matrix_top.results\[109\],110.52
matrix_top.sys_arr.row\[50\]\[0\],110.515
_20958_,110.505
matrix_top.sys_arr.col\[65\]\[3\],110.5
net497,110.46
net580,110.42
_34923_,110.38
matrix_top.results\[235\],110.38
matrix_top.sys_arr.row\[68\]\[7\],110.38
matrix_top.sys_arr.col\[40\]\[4\],110.37
_03524_,110.355
matrix_top.results\[1254\],110.35
_12797_,110.335
_14239_,110.33
matrix_top.sys_arr.row\[21\]\[3\],110.3
matrix_top.sys_arr.col\[20\]\[3\],110.24
_25729_,110.235
_22396_,110.2
_23236_,110.2
_14235_,110.18
matrix_top.sys_arr.row\[59\]\[3\],110.16
_26635_,110.14
net345,110.14
_35050_,110.06
matrix_top.sys_arr.row\[62\]\[0\],110.06
_35291_,110.05
_18077_,110.04
_35984_,110.04
net271,110.04
_36112_,109.99
_35923_,109.92
matrix_top.sys_arr.row\[21\]\[2\],109.92
matrix_top.sys_arr.row\[10\]\[1\],109.9
matrix_top.sys_arr.row\[19\]\[3\],109.9
_22868_,109.89
net368,109.875
_34952_,109.8
_28620_,109.79
net524,109.78
matrix_top.results\[517\],109.7
matrix_top.results\[261\],109.645
matrix_top.results\[1028\],109.6
matrix_top.results\[515\],109.6
matrix_top.sys_arr.row\[28\]\[3\],109.6
net366,109.56
matrix_top.results\[706\],109.5
matrix_top.results\[384\],109.46
net634,109.4
matrix_top.sys_arr.row\[35\]\[5\],109.365
_35511_,109.32
matrix_top.sys_arr.row\[17\]\[5\],109.31
matrix_top.sys_arr.row\[66\]\[2\],109.3
_09458_,109.275
matrix_top.sys_arr.row\[58\]\[0\],109.25
_17993_,109.22
matrix_top.sys_arr.col\[49\]\[4\],109.18
_20435_,109.16
matrix_top.sys_arr.row\[56\]\[1\],109.16
_11844_,109.07
net643,109.04
matrix_top.sys_arr.row\[35\]\[1\],108.98
_05002_,108.94
_35444_,108.9
_05509_,108.88
_16657_,108.86
matrix_top.sys_arr.row\[23\]\[5\],108.855
matrix_top.buffer_gen\[2\].buffer.reg_out\[17\],108.82
net493,108.8
_04105_,108.78
_18071_,108.76
_30051_,108.73
_35428_,108.7
_34958_,108.66
matrix_top.sys_arr.row\[28\]\[1\],108.62
matrix_top.results\[707\],108.56
matrix_top.sys_arr.col\[38\]\[3\],108.54
net19,108.48
matrix_top.results\[1127\],108.47
matrix_top.sys_arr.col\[54\]\[3\],108.46
matrix_top.results\[264\],108.4
net451,108.36
matrix_top.sys_arr.col\[40\]\[0\],108.3
matrix_top.sys_arr.row\[47\]\[3\],108.3
matrix_top.results\[453\],108.29
_24289_,108.28
matrix_top.sys_arr.row\[49\]\[0\],108.28
net596,108.26
matrix_top.sys_arr.row\[59\]\[1\],108.205
_07048_,108.2
_37098_,108.16
matrix_top.results\[1157\],108.13
matrix_top.sys_arr.col\[57\]\[3\],108.12
matrix_top.sys_arr.row\[41\]\[3\],108.11
net550,108.11
matrix_top.sys_arr.col\[69\]\[1\],108.085
_36740_,108.08
_10845_,108.02
_27160_,108.02
net472,108.02
net579,108.02
matrix_top.results\[911\],107.995
matrix_top.sys_arr.row\[42\]\[1\],107.955
_11360_,107.92
_36508_,107.9
_36061_,107.86
net194,107.84
_36274_,107.8
matrix_top.sys_arr.col\[37\]\[5\],107.78
net264,107.78
matrix_top.sys_arr.row\[52\]\[5\],107.76
matrix_top.sys_arr.col\[48\]\[5\],107.75
matrix_top.results\[1634\],107.72
_17130_,107.71
_35305_,107.7
matrix_top.sys_arr.row\[38\]\[7\],107.645
_09408_,107.64
matrix_top.results\[865\],107.6
matrix_top.sys_arr.row\[28\]\[7\],107.6
net450,107.6
_36426_,107.595
matrix_top.results\[102\],107.56
_34339_,107.55
net481,107.535
_35503_,107.52
_35996_,107.5
_11322_,107.47
matrix_top.results\[1777\],107.44
matrix_top.results\[358\],107.44
_35452_,107.42
_35173_,107.36
matrix_top.results\[1005\],107.34
net490,107.315
net215,107.26
_18553_,107.215
_13220_,107.2
_35761_,107.18
net99,107.18
matrix_top.sys_arr.row\[41\]\[1\],107.135
_36013_,107.12
matrix_top.sys_arr.col\[17\]\[1\],107.1
_35714_,107.02
_28988_,107
_08971_,106.91
_35436_,106.9
_34801_,106.88
net214,106.88
matrix_top.sys_arr.col\[41\]\[2\],106.8
matrix_top.sys_arr.col\[69\]\[0\],106.8
_34427_,106.765
matrix_top.results\[1035\],106.76
matrix_top.sys_arr.row\[32\]\[3\],106.74
net360,106.74
_35827_,106.72
_36676_,106.7
matrix_top.sys_arr.row\[1\]\[7\],106.7
_22372_,106.67
matrix_top.sys_arr.row\[7\]\[5\],106.665
_18000_,106.64
_35975_,106.64
matrix_top.sys_arr.col\[65\]\[0\],106.64
matrix_top.results\[1864\],106.62
matrix_top.results\[2028\],106.61
_30048_,106.555
_10889_,106.53
_30057_,106.515
_04640_,106.48
_14186_,106.48
matrix_top.results\[1733\],106.47
matrix_top.sys_arr.row\[48\]\[0\],106.46
matrix_top.results\[1646\],106.44
_29583_,106.4
_36168_,106.38
matrix_top.sys_arr.row\[51\]\[0\],106.38
_13660_,106.34
matrix_top.results\[1664\],106.34
matrix_top.sys_arr.row\[62\]\[1\],106.325
net430,106.32
matrix_top.sys_arr.row\[14\]\[5\],106.285
matrix_top.sys_arr.row\[58\]\[5\],106.22
matrix_top.sys_arr.col\[31\]\[2\],106.205
matrix_top.sys_arr.row\[49\]\[2\],106.19
matrix_top.results\[903\],106.16
matrix_top.sys_arr.col\[64\]\[3\],106.16
matrix_top.results\[260\],106.15
_17984_,106.08
matrix_top.results\[1516\],106.06
matrix_top.results\[864\],106.06
matrix_top.results\[1672\],106.04
matrix_top.sys_arr.row\[19\]\[2\],106.04
matrix_top.results\[910\],105.99
matrix_top.sys_arr.col\[49\]\[3\],105.97
_09859_,105.96
_37038_,105.96
net557,105.93
net476,105.91
_35222_,105.9
matrix_top.sys_arr.col\[51\]\[0\],105.82
net619,105.8
net210,105.78
net231,105.78
matrix_top.sys_arr.row\[21\]\[5\],105.745
_06480_,105.7
net61,105.68
net367,105.64
matrix_top.results\[450\],105.62
net434,105.6
net491,105.58
_36506_,105.57
_31918_,105.56
matrix_top.results\[1192\],105.56
matrix_top.sys_arr.col\[23\]\[2\],105.52
matrix_top.sys_arr.row\[14\]\[7\],105.485
_31944_,105.47
net188,105.41
_03745_,105.4
net586,105.4
matrix_top.results\[1953\],105.39
_14684_,105.36
matrix_top.results\[1004\],105.36
matrix_top.sys_arr.col\[26\]\[2\],105.35
_36122_,105.32
matrix_top.sys_arr.row\[35\]\[0\],105.32
net100,105.32
_05014_,105.26
_35784_,105.26
net105,105.24
matrix_top.sys_arr.row\[23\]\[7\],105.2
net378,105.2
matrix_top.sys_arr.row\[58\]\[1\],105.19
_03762_,105.18
_29538_,105.18
_30054_,105.105
_33387_,105.1
_35175_,105.1
matrix_top.results\[1350\],105.08
net221,105.08
matrix_top.results\[361\],105.06
matrix_top.results\[1479\],105.03
matrix_top.sys_arr.row\[52\]\[7\],104.985
matrix_top.sys_arr.row\[37\]\[3\],104.96
_12291_,104.9
_35718_,104.9
_35668_,104.86
matrix_top.results\[641\],104.84
net605,104.8
_32846_,104.795
matrix_top.sys_arr.col\[31\]\[0\],104.77
matrix_top.sys_arr.row\[21\]\[1\],104.765
_35758_,104.76
matrix_top.results\[866\],104.74
net566,104.74
matrix_top.sys_arr.row\[8\]\[4\],104.73
net628,104.73
matrix_top.sys_arr.row\[68\]\[0\],104.68
net583,104.67
_30014_,104.62
matrix_top.sys_arr.col\[52\]\[2\],104.62
net624,104.62
_35132_,104.6
net380,104.58
matrix_top.sys_arr.row\[22\]\[3\],104.5
net57,104.46
net334,104.38
_24734_,104.34
matrix_top.results\[259\],104.315
_18025_,104.18
matrix_top.sys_arr.row\[37\]\[1\],104.135
matrix_top.results\[623\],104.08
matrix_top.results\[683\],104.08
_35498_,104.06
_20010_,104.035
matrix_top.results\[391\],104.03
matrix_top.sys_arr.col\[37\]\[2\],103.94
net542,103.94
_34985_,103.92
matrix_top.results\[1635\],103.92
matrix_top.sys_arr.col\[57\]\[4\],103.92
matrix_top.sys_arr.row\[13\]\[5\],103.9
matrix_top.sys_arr.row\[1\]\[3\],103.885
net449,103.88
matrix_top.results\[790\],103.83
matrix_top.sys_arr.row\[10\]\[5\],103.79
matrix_top.sys_arr.row\[33\]\[7\],103.76
matrix_top.sys_arr.row\[37\]\[2\],103.745
matrix_top.sys_arr.row\[13\]\[0\],103.72
net101,103.695
net364,103.67
_21870_,103.66
_32387_,103.66
net111,103.66
net333,103.66
_13270_,103.63
matrix_top.sys_arr.row\[56\]\[0\],103.605
net102,103.58
net401,103.54
matrix_top.sys_arr.row\[44\]\[4\],103.535
_36693_,103.52
matrix_top.sys_arr.row\[22\]\[0\],103.52
matrix_top.sys_arr.row\[53\]\[3\],103.5
net241,103.5
_11257_,103.45
net357,103.435
matrix_top.results\[1579\],103.42
_09457_,103.415
matrix_top.sys_arr.col\[42\]\[2\],103.37
matrix_top.results\[1952\],103.36
_36902_,103.35
matrix_top.sys_arr.row\[13\]\[7\],103.315
_20412_,103.31
_36055_,103.27
_03871_,103.26
matrix_top.sys_arr.col\[12\]\[2\],103.22
_26636_,103.2
matrix_top.sys_arr.col\[63\]\[4\],103.2
_13187_,103.16
_35049_,103.16
matrix_top.sys_arr.col\[53\]\[5\],103.16
net441,103.16
_35277_,103.12
matrix_top.sys_arr.row\[12\]\[0\],103.12
matrix_top.sys_arr.col\[63\]\[2\],103.06
_35123_,103.04
matrix_top.results\[871\],103.02
_28579_,103
net418,102.96
_36083_,102.92
matrix_top.sys_arr.col\[56\]\[2\],102.92
_03797_,102.905
_15672_,102.855
matrix_top.results\[1805\],102.84
net389,102.84
_13224_,102.8
_08479_,102.77
_36968_,102.76
net321,102.76
_29107_,102.7
matrix_top.sys_arr.col\[36\]\[2\],102.68
matrix_top.sys_arr.col\[54\]\[4\],102.67
matrix_top.results\[1734\],102.64
matrix_top.sys_arr.row\[20\]\[5\],102.615
matrix_top.sys_arr.row\[22\]\[2\],102.61
_36059_,102.56
_35113_,102.55
_35010_,102.54
matrix_top.sys_arr.row\[53\]\[5\],102.525
_34378_,102.46
net429,102.455
net394,102.38
_35205_,102.32
matrix_top.results\[1673\],102.28
_35708_,102.26
matrix_top.sys_arr.col\[18\]\[2\],102.21
matrix_top.results\[1962\],102.2
matrix_top.results\[873\],102.2
_35455_,102.18
_35334_,102.09
net617,102.08
net468,102.06
net473,102.05
matrix_top.buffer_gen\[3\].buffer.buffer\[4\],102.04
matrix_top.sys_arr.row\[2\]\[7\],101.99
matrix_top.results\[112\],101.92
net270,101.9
_36427_,101.88
_35888_,101.84
matrix_top.results\[1730\],101.82
_36045_,101.8
_14691_,101.775
net182,101.69
_18074_,101.68
_32907_,101.62
_35604_,101.61
_35340_,101.575
matrix_top.sys_arr.row\[51\]\[7\],101.575
matrix_top.results\[1379\],101.56
_32371_,101.52
net311,101.515
matrix_top.sys_arr.row\[33\]\[3\],101.48
matrix_top.buffer_gen\[1\].buffer.reg_out\[20\],101.46
matrix_top.results\[1319\],101.46
_35671_,101.41
matrix_top.results\[705\],101.4
_13739_,101.345
_36714_,101.34
matrix_top.results\[2023\],101.34
matrix_top.results\[265\],101.34
_35600_,101.33
_17989_,101.31
matrix_top.sys_arr.row\[43\]\[3\],101.29
matrix_top.sys_arr.row\[64\]\[0\],101.28
_30061_,101.275
matrix_top.sys_arr.col\[58\]\[3\],101.24
matrix_top.results\[1250\],101.22
_35586_,101.2
matrix_top.sys_arr.row\[8\]\[5\],101.115
net287,101.1
matrix_top.sys_arr.col\[41\]\[4\],101.07
_35518_,101.04
_07535_,100.96
_34904_,100.96
net319,100.92
net600,100.9
_07057_,100.885
matrix_top.sys_arr.row\[52\]\[3\],100.87
matrix_top.results\[1961\],100.86
matrix_top.sys_arr.row\[24\]\[4\],100.84
net523,100.84
_34994_,100.78
_21865_,100.76
_35562_,100.7
matrix_top.sys_arr.row\[1\]\[6\],100.685
matrix_top.results\[173\],100.68
matrix_top.sys_arr.col\[29\]\[1\],100.66
matrix_top.sys_arr.col\[14\]\[3\],100.64
matrix_top.results\[101\],100.63
_06540_,100.6
_22330_,100.6
net83,100.6
net375,100.575
matrix_top.sys_arr.row\[2\]\[0\],100.56
net392,100.56
matrix_top.sys_arr.col\[23\]\[3\],100.48
matrix_top.sys_arr.row\[60\]\[7\],100.46
matrix_top.sys_arr.row\[55\]\[7\],100.43
net316,100.42
net248,100.4
net571,100.36
_35092_,100.32
matrix_top.results\[462\],100.32
matrix_top.results\[612\],100.32
net639,100.3
_13186_,100.26
_35711_,100.23
matrix_top.sys_arr.row\[5\]\[0\],100.22
net173,100.14
matrix_top.sys_arr.row\[13\]\[1\],100.105
_25736_,100.09
_23239_,100.08
_11260_,100.035
_14694_,100.03
matrix_top.results\[622\],100.01
matrix_top.results\[1929\],100
_06992_,99.955
_29000_,99.93
_09916_,99.9
_36450_,99.86
matrix_top.sys_arr.col\[13\]\[0\],99.855
matrix_top.results\[905\],99.82
net341,99.78
matrix_top.sys_arr.row\[61\]\[3\],99.76
_06504_,99.74
_22807_,99.73
_18047_,99.72
matrix_top.results\[1249\],99.7
matrix_top.results\[869\],99.68
matrix_top.sys_arr.col\[36\]\[5\],99.67
_24302_,99.645
_35199_,99.64
net352,99.635
matrix_top.sys_arr.row\[66\]\[1\],99.615
matrix_top.sys_arr.row\[71\]\[1\],99.6
matrix_top.sys_arr.col\[12\]\[5\],99.505
matrix_top.sys_arr.row\[10\]\[0\],99.5
_32883_,99.37
_17571_,99.36
matrix_top.sys_arr.row\[26\]\[3\],99.345
_12267_,99.32
matrix_top.sys_arr.row\[10\]\[2\],99.26
_36868_,99.24
matrix_top.sys_arr.row\[65\]\[7\],99.2
_30520_,99.19
matrix_top.sys_arr.col\[47\]\[2\],99.19
matrix_top.buffer_gen\[3\].buffer.buffer\[5\],99.18
net383,99.18
matrix_top.sys_arr.col\[10\]\[5\],99.12
_16102_,99.06
matrix_top.results\[868\],99.06
net225,99.06
matrix_top.results\[680\],99.02
_10882_,99.015
_36192_,99
_34321_,98.96
matrix_top.sys_arr.col\[42\]\[3\],98.94
matrix_top.sys_arr.row\[71\]\[7\],98.89
_36301_,98.82
_37102_,98.78
net416,98.76
matrix_top.sys_arr.row\[28\]\[0\],98.66
net103,98.6
_35255_,98.58
_21435_,98.545
_36129_,98.54
_03625_,98.5
_23227_,98.5
_36209_,98.48
_36258_,98.38
_26684_,98.305
_36283_,98.3
matrix_top.sys_arr.row\[62\]\[4\],98.23
matrix_top.results\[909\],98.22
matrix_top.results\[1571\],98.16
_30531_,98.06
matrix_top.sys_arr.col\[50\]\[4\],98.05
net108,98.04
_12746_,98.02
matrix_top.sys_arr.row\[15\]\[7\],97.985
_05097_,97.92
_11367_,97.92
matrix_top.sys_arr.row\[69\]\[5\],97.92
matrix_top.sys_arr.row\[50\]\[7\],97.835
_35170_,97.74
_36446_,97.74
matrix_top.sys_arr.row\[41\]\[2\],97.73
net427,97.72
matrix_top.results\[773\],97.715
matrix_top.sys_arr.row\[11\]\[4\],97.685
_36613_,97.68
net555,97.68
_35315_,97.64
matrix_top.results\[1860\],97.64
matrix_top.buffer_gen\[2\].buffer.reg_out\[16\],97.6
matrix_top.sys_arr.row\[64\]\[6\],97.59
matrix_top.results\[1960\],97.58
matrix_top.results\[1802\],97.54
matrix_top.results\[613\],97.52
_35272_,97.5
matrix_top.results\[1928\],97.5
net239,97.5
_36804_,97.48
_30489_,97.46
_23783_,97.45
matrix_top.results\[1645\],97.44
net109,97.4
net527,97.34
_30058_,97.26
_34967_,97.225
matrix_top.results\[1674\],97.22
matrix_top.sys_arr.col\[35\]\[5\],97.21
net229,97.2
matrix_top.sys_arr.row\[31\]\[3\],97.1
matrix_top.sys_arr.row\[37\]\[0\],97.1
_15180_,97.08
matrix_top.results\[107\],97.08
_03869_,97.075
matrix_top.results\[106\],97.06
matrix_top.sys_arr.row\[31\]\[0\],97.02
net273,97
_35263_,96.94
_31422_,96.92
_35786_,96.92
matrix_top.sys_arr.col\[42\]\[5\],96.92
matrix_top.results\[1321\],96.9
net507,96.9
matrix_top.sys_arr.row\[65\]\[4\],96.89
matrix_top.sys_arr.col\[17\]\[2\],96.88
_10405_,96.875
_35095_,96.82
matrix_top.sys_arr.row\[30\]\[0\],96.8
net292,96.8
_35343_,96.74
matrix_top.sys_arr.col\[64\]\[4\],96.74
net547,96.74
matrix_top.sys_arr.row\[22\]\[1\],96.725
_35146_,96.72
_35578_,96.71
matrix_top.sys_arr.row\[24\]\[3\],96.7
net485,96.68
_08933_,96.66
net263,96.64
_30504_,96.63
_35293_,96.6
_36660_,96.58
matrix_top.sys_arr.col\[60\]\[4\],96.56
matrix_top.sys_arr.col\[28\]\[5\],96.53
matrix_top.sys_arr.col\[48\]\[2\],96.52
_34990_,96.48
matrix_top.sys_arr.col\[42\]\[7\],96.46
matrix_top.sys_arr.col\[20\]\[5\],96.43
_06048_,96.42
matrix_top.sys_arr.row\[44\]\[1\],96.42
_35621_,96.4
_34328_,96.395
_36549_,96.36
matrix_top.results\[1320\],96.3
matrix_top.results\[48\],96.3
net480,96.285
_18560_,96.28
matrix_top.results\[1865\],96.28
_06079_,96.275
_36057_,96.22
matrix_top.results\[460\],96.17
matrix_top.sys_arr.row\[4\]\[2\],96.12
_36062_,95.99
_35705_,95.96
net280,95.96
matrix_top.results\[870\],95.94
net575,95.94
matrix_top.sys_arr.col\[45\]\[2\],95.92
matrix_top.sys_arr.col\[28\]\[2\],95.9
_08438_,95.89
matrix_top.sys_arr.row\[29\]\[7\],95.88
matrix_top.sys_arr.row\[3\]\[3\],95.88
_16106_,95.83
_35945_,95.82
matrix_top.sys_arr.col\[32\]\[5\],95.81
_25231_,95.8
matrix_top.sys_arr.col\[31\]\[1\],95.8
matrix_top.sys_arr.col\[41\]\[3\],95.74
matrix_top.results\[1191\],95.72
_30982_,95.71
matrix_top.sys_arr.row\[52\]\[2\],95.69
_36147_,95.68
matrix_top.results\[908\],95.68
matrix_top.sys_arr.col\[47\]\[5\],95.67
_06075_,95.64
_35660_,95.64
matrix_top.sys_arr.row\[24\]\[2\],95.62
matrix_top.sys_arr.col\[65\]\[4\],95.595
matrix_top.results\[352\],95.58
net577,95.54
_22188_,95.5
matrix_top.sys_arr.col\[53\]\[2\],95.5
_36387_,95.49
net247,95.48
_09371_,95.42
_11162_,95.38
matrix_top.sys_arr.row\[2\]\[3\],95.38
matrix_top.sys_arr.col\[38\]\[2\],95.34
_35865_,95.3
matrix_top.results\[1642\],95.3
_26217_,95.27
matrix_top.results\[1800\],95.22
matrix_top.sys_arr.row\[34\]\[3\],95.2
matrix_top.sys_arr.row\[70\]\[7\],95.2
_06538_,95.16
matrix_top.sys_arr.row\[22\]\[6\],95.145
_08442_,95.13
_32910_,95.13
_35239_,95.11
_20917_,95.1
_35577_,95.075
matrix_top.sys_arr.row\[55\]\[0\],95.06
matrix_top.results\[1633\],95
matrix_top.results\[1351\],94.98
matrix_top.results\[234\],94.98
_36523_,94.97
_35243_,94.94
matrix_top.results\[1638\],94.94
_04103_,94.92
_35814_,94.92
matrix_top.results\[610\],94.92
net554,94.92
net517,94.88
matrix_top.sys_arr.col\[44\]\[5\],94.87
_35631_,94.84
matrix_top.results\[679\],94.84
matrix_top.results\[907\],94.84
_36932_,94.82
_35837_,94.78
matrix_top.results\[1007\],94.78
matrix_top.sys_arr.row\[31\]\[1\],94.765
matrix_top.sys_arr.row\[30\]\[2\],94.76
_14704_,94.68
matrix_top.results\[174\],94.68
matrix_top.sys_arr.row\[66\]\[0\],94.66
net632,94.62
_30487_,94.575
_09453_,94.56
matrix_top.sys_arr.row\[29\]\[0\],94.515
_36650_,94.5
_21391_,94.48
matrix_top.sys_arr.row\[55\]\[1\],94.48
matrix_top.sys_arr.row\[4\]\[1\],94.425
net510,94.42
_22393_,94.41
_07470_,94.38
_35655_,94.38
matrix_top.results\[1731\],94.38
matrix_top.sys_arr.row\[21\]\[7\],94.375
_09827_,94.36
matrix_top.sys_arr.row\[35\]\[3\],94.36
matrix_top.sys_arr.row\[66\]\[5\],94.36
_04071_,94.24
_36842_,94.23
_35676_,94.22
net106,94.2
matrix_top.results\[103\],94.15
_25690_,94.14
matrix_top.results\[1255\],94.14
net471,94.14
matrix_top.sys_arr.col\[36\]\[7\],94.12
matrix_top.sys_arr.row\[15\]\[0\],94.12
_34241_,94.1
_36244_,94.1
net220,94.1
matrix_top.sys_arr.col\[32\]\[2\],93.985
matrix_top.sys_arr.row\[13\]\[3\],93.98
_09822_,93.96
_36972_,93.8
matrix_top.results\[452\],93.73
net285,93.72
_10893_,93.68
net256,93.66
net265,93.66
matrix_top.sys_arr.col\[59\]\[2\],93.64
_09831_,93.6
_15131_,93.58
net240,93.56
matrix_top.results\[1256\],93.54
_09445_,93.52
matrix_top.sys_arr.col\[59\]\[4\],93.48
matrix_top.sys_arr.row\[31\]\[2\],93.465
_36778_,93.4
_18522_,93.36
_35402_,93.35
_35719_,93.34
matrix_top.sys_arr.row\[16\]\[3\],93.34
_30976_,93.335
net424,93.32
matrix_top.results\[1859\],93.3
_07542_,93.285
matrix_top.sys_arr.col\[22\]\[4\],93.28
_35369_,93.26
_19450_,93.24
_27540_,93.22
_32812_,93.2
matrix_top.sys_arr.row\[22\]\[5\],93.12
_35478_,93.09
matrix_top.sys_arr.row\[10\]\[7\],93.08
matrix_top.sys_arr.row\[71\]\[6\],93.08
net295,93.06
matrix_top.results\[1008\],93.02
_27605_,92.93
_37064_,92.92
net457,92.92
matrix_top.sys_arr.col\[18\]\[4\],92.91
matrix_top.sys_arr.col\[58\]\[4\],92.85
matrix_top.sys_arr.col\[55\]\[1\],92.82
net541,92.76
matrix_top.sys_arr.col\[14\]\[5\],92.73
_35215_,92.72
matrix_top.results\[1380\],92.7
net516,92.68
_17093_,92.64
_31444_,92.5
_35304_,92.48
